,date,data
0,2018-01-01 00:00:00,-12.08
1,2018-01-01 00:30:00,-12.49
2,2018-01-01 01:00:00,-13.39
3,2018-01-01 01:30:00,-13.8
4,2018-01-01 02:00:00,-14.42
5,2018-01-01 02:30:00,-14.53
6,2018-01-01 03:00:00,-15.2
7,2018-01-01 03:30:00,-15.43
8,2018-01-01 04:00:00,-15.95
9,2018-01-01 04:30:00,-16.1
10,2018-01-01 05:00:00,-15.75
11,2018-01-01 05:30:00,-16.55
12,2018-01-01 06:00:00,-16.85
13,2018-01-01 06:30:00,-17.53
14,2018-01-01 07:00:00,-18.03
15,2018-01-01 07:30:00,-18.32
16,2018-01-01 08:00:00,-18.49
17,2018-01-01 08:30:00,-19.04
18,2018-01-01 09:00:00,-19.25
19,2018-01-01 09:30:00,-19.16
20,2018-01-01 10:00:00,-19.5
21,2018-01-01 10:30:00,-19.95
22,2018-01-01 11:00:00,-20.11
23,2018-01-01 11:30:00,-20.34
24,2018-01-01 12:00:00,-19.87
25,2018-01-01 12:30:00,-20.92
26,2018-01-01 13:00:00,-20.74
27,2018-01-01 13:30:00,-20.94
28,2018-01-01 14:00:00,-20.29
29,2018-01-01 14:30:00,-19.81
30,2018-01-01 15:00:00,-19.18
31,2018-01-01 15:30:00,-18.39
32,2018-01-01 16:00:00,-18.56
33,2018-01-01 16:30:00,-17.63
34,2018-01-01 17:00:00,-17.44
35,2018-01-01 17:30:00,-17.82
36,2018-01-01 18:00:00,-15.75
37,2018-01-01 18:30:00,-15.55
38,2018-01-01 19:00:00,-15.32
39,2018-01-01 19:30:00,-15.14
40,2018-01-01 20:00:00,-14.9
41,2018-01-01 20:30:00,-14.58
42,2018-01-01 21:00:00,-14.91
43,2018-01-01 21:30:00,-14.79
44,2018-01-01 22:00:00,-16.33
45,2018-01-01 22:30:00,-16.27
46,2018-01-01 23:00:00,-16.87
47,2018-01-01 23:30:00,-17.7
48,2018-01-02 00:00:00,-17.84
